Subject,Question,Option A,Option B,Option C,Option D,Answer,Cluster
English,The diphthong in “boy” is represented by _____.,/aɪ/,/ɔɪ/,/eɪ/,/ɪə/,B,5
English,The diphthong in “fine” is represented by _____.,/eɪ/,/aɪ/,/aʊ/,/ɔɪ/,B,5
English,The diphthong in “loud” is represented by _____.,/aɪ/,/aʊ/,/ɔɪ/,/eə/,B,5
English,The vowel sound in “boat” is represented by _____.,/əʊ/,/aʊ/,/ɒ/,/eə/,A,5
English,The diphthong in “care” is represented by _____.,/eə/,/aʊ/,/ɪə/,/ɔɪ/,A,5
English,The diphthong in “here” is represented by _____.,/ɪə/,/eə/,/aɪ/,/ɔɪ/,A,5
English,The sound /ʃ/ occurs in the word _____.,chair,shoe,goat,jam,B,5
English,The sound /ʒ/ occurs in the word _____.,measure,church,fish,shop,A,5
English,The sound /tʃ/ occurs in the word _____.,chair,shoe,vision,leisure,A,5
English,The sound /dʒ/ occurs in the word _____.,jam,ship,shine,fish,A,5
English,The sound /θ/ occurs in the word _____.,this,thing,those,these,B,5
English,The sound /ð/ occurs in the word _____.,thing,thought,those,thick,C,5
English,The sound /ŋ/ occurs in the word _____.,sing,sit,sign,sand,A,5
English,The schwa sound /ə/ occurs in the word _____.,about,cat,ball,sit,A,5
English,The stress in the word “photograph” falls on the _____ syllable.,first,second,third,fourth,A,1
English,The stress in “photographer” falls on the _____ syllable.,first,second,third,fourth,C,5
English,The stress in “economy” falls on the _____ syllable.,first,second,third,fourth,B,5
English,The stress in “economic” falls on the _____ syllable.,first,second,third,fourth,C,5
English,Intonation refers to _____.,rhythm of speech,pitch variation,word meaning,grammar,B,5
English,Rising intonation is used in _____.,statements,commands,yes/no questions,exclamations,C,5
English,Falling intonation is used in _____.,questions,statements,requests,uncertain answers,B,5
English,The word “import” when used as a noun has stress on the _____ syllable.,first,second,third,none,A,5
English,The word “import” when used as a verb has stress on the _____ syllable.,first,second,third,none,B,5
English,The word “conduct” as a noun is stressed on the _____ syllable.,first,second,third,none,A,5
English,The word “conduct” as a verb is stressed on the _____ syllable.,first,second,third,none,B,5
English,The primary function of intonation is to _____.,change meaning,show feeling,form sentences,show stress,B,5
English,The sound /v/ is a _____ sound.,voiceless bilabial,voiced labiodental,voiceless alveolar,voiced plosive,B,5
English,The sound /k/ is a _____ sound.,voiceless velar plosive,voiced velar nasal,voiced alveolar fricative,voiceless bilabial stop,A,5
English,The sound /g/ is a _____ sound.,voiced velar plosive,voiced bilabial nasal,voiceless alveolar stop,voiced fricative,A,5
English,The sound /h/ is a _____ sound.,voiced alveolar,voiceless glottal,voiceless bilabial,voiced nasal,B,5
English,The sound /w/ in “we” is a _____ sound.,voiceless bilabial,voiced bilabial approximant,voiced nasal,voiceless fricative,B,5
English,The sound /j/ in “yes” is a _____ sound.,voiceless alveolar,voiced palatal approximant,voiced bilabial,voiceless glottal,B,5
English,Phonetic transcription helps learners to _____.,spell words,pronounce words correctly,write faster,read quietly,B,5
English,The symbol /θ/ represents the sound in which of these words?,thing,this,there,that,A,5
English,The word *lexis* refers to _____.,sentence formation,vocabulary or word choice,intonation,grammar,B,6
English,The word *structure* in English refers to _____.,sentence organization,spelling,intonation,reading speed,A,6
English,The correct form of the verb in “He _____ going now” is _____. ,is,are,am,were,A,8
English,Choose the correct option: She prefers tea _____ coffee.,to,than,and,with,A,4
English,Choose the correct expression: We arrived _____ the airport on time.,at,in,on,to,A,4
English,Choose the correct option: The car belongs _____ me.,to,for,with,of,A,4
English,Choose the correct preposition: He was born _____ June.,at,on,in,by,C,8
English,Choose the correct option: I am tired _____ this noise.,at,with,of,from,C,5
English,Choose the correct word: He congratulated me _____ my success.,at,for,on,of,C,4
English,Choose the correct expression: I am interested _____ football.,at,about,in,with,C,4
English,Choose the correct option: She is married _____ a lawyer.,with,to,by,for,B,4
English,Choose the correct word: The woman is proud _____ her daughter.,of,for,about,to,A,4
English,Choose the correct word: The man is responsible _____ the mistake.,of,for,to,with,B,8
English,Choose the correct option: Ade is different _____ Tunde.,from,to,with,of,A,4
English,Choose the correct word: The students complained _____ the noise.,at,on,about,for,C,4
English,Choose the correct expression: The boy is good _____ Mathematics.,in,at,on,about,B,4
English,Choose the correct preposition: He divided the food _____ two.,between,among,within,inside,A,8
English,Choose the correct word: The teacher is pleased _____ the result.,of,with,at,for,B,4
English,Choose the correct option: He depends _____ his parents.,in,at,on,of,C,8
English,Choose the correct phrase: The boy was accused _____ stealing.,of,for,with,at,A,4
English,Choose the correct expression: I am familiar _____ this topic.,to,for,with,of,C,4
English,Choose the correct option: The man is ashamed _____ his actions.,for,to,of,with,C,8
English,Choose the correct word: The girl is jealous _____ her friend.,to,of,about,for,B,4
English,Choose the correct option: The book is full _____ interesting stories.,of,with,from,on,A,4
English,Choose the correct phrase: He is capable _____ doing it.,of,to,for,about,A,4
English,Choose the correct word: I am satisfied _____ my performance.,for,with,about,by,B,4
English,Choose the correct expression: The lady was accused _____ lying.,of,to,for,about,A,4
English,Choose the correct phrase: The man insisted _____ paying the debt.,on,in,at,to,A,4
English,Choose the correct idiom: “To kick the bucket” means _____.,to die,to travel,to fight,to rest,A,4
English,Choose the correct idiom: “To spill the beans” means _____.,to tell a secret,to waste food,to cook beans,to cause trouble,A,4
English,Choose the correct idiom: “Once in a blue moon” means _____.,frequently,rarely,never,occasionally,B,4
English,Choose the correct idiom: “A blessing in disguise” means _____.,a hidden problem,a good thing that seemed bad,a bad omen,a big surprise,B,4
English,Choose the correct idiom: “Cut corners” means _____.,to do something badly to save effort,to design,make a turn,to improve work,A,4
English,Choose the correct idiom: “Break the ice” means _____.,to make people feel comfortable,to break glass,to end a fight,to stop talking,A,4
English,Choose the correct idiom: “Hit the nail on the head” means _____.,to say something exactly right,to build a house,to make a mistake,to speak softly,A,4
English,Choose the correct idiom: “Under the weather” means _____.,feeling ill,feeling happy,feeling excited,feeling rich,A,4
English,Choose the correct idiom: “Let the cat out of the bag” means _____.,to reveal a secret,to buy a cat,to tell a lie,to keep quiet,A,4
English,Choose the correct idiom: “Bite off more than you can chew” means _____.,take on too much work,eat too fast,be lazy,lose appetite,A,4
English,Choose the correct idiom: “Burn the midnight oil” means _____.,to read at night,to sleep late,to study late into the night,to switch off light,C,4
English,Choose the correct idiom: “Cost an arm and a leg” means _____.,very expensive,very cheap,very easy,very heavy,A,4
English,Choose the correct idiom: “To be in hot water” means _____.,to be in trouble,to be rich,to take a bath,to travel far,A,4
English,Choose the correct idiom: “A piece of cake” means _____.,something very easy,something very hard,something sweet,something small,A,4
English,Choose the correct idiom: “Add fuel to the fire” means _____.,to worsen a situation,to cook,to make peace,to cool down,A,4
English,Choose the correct idiom: “The ball is in your court” means _____.,it’s your decision,it’s my game,it’s someone’s fault,it’s over,A,4
English,Choose the correct idiom: “A bird in hand is worth two in the bush” means _____.,what you have is better than what you hope for,keep chasing more,don’t settle,be patient,A,4
English,Choose the correct idiom: “To cry over spilt milk” means _____.,to regret what can’t be changed,to shout loudly,to complain,to be lazy,A,4
English,Choose the correct idiom: “To hit the books” means _____.,to start studying,to close books,to fail exams,to go to school,A,4
English,Choose the correct idiom: “To see eye to eye” means _____.,to agree,to fight,to avoid,to misunderstand,A,4
English,Choose the correct idiom: “To pull someone’s leg” means _____.,to joke with them,to hurt them,to chase them,to deceive them,A,4
English,Choose the correct idiom: “To be on cloud nine” means _____.,to be very happy,to be very sad,to be confused,to be angry,A,4
English,Choose the correct idiom: “To get cold feet” means _____.,to become afraid,to feel cold,to start running,to fall asleep,A,4
English,Choose the correct idiom: “To make ends meet” means _____.,to earn enough to live,to close something,to argue,to stop work,A,4
English,The phrasal verb “give up” means _____.,to surrender,to donate,to continue,to rise,A,6
English,The phrasal verb “look after” means _____.,to search,to take care of,to watch,to follow,B,6
English,The phrasal verb “bring up” means _____.,to mention or raise a topic,to lift something,to grow something,to carry,A,6
English,The phrasal verb “turn down” means _____.,to reject,to reduce,to increase,to switch on,A,6
English,The phrasal verb “put off” means _____.,to delay,to stop,to turn off,to continue,A,6
English,The phrasal verb “call off” means _____.,to arrange,to cancel,to begin,to postpone,B,6
English,The phrasal verb “carry on” means _____.,to continue,to stop,to lift,to move,B,6
English,The phrasal verb “run into” means _____.,to collide with,to meet by chance,to escape,to chase,B,6
English,The phrasal verb “take off” means _____.,to remove clothes,to fly,to leave,to begin,A,6
English,The phrasal verb “break down” means _____.,to fail,to cry,to stop working,to fall,A,6
English,The phrasal verb “fill in” means _____.,to complete a form,to enter a room,to decorate,to explain,A,6
English,The phrasal verb “look for” means _____.,to watch,to search for,to take care,to wait,B,6
English,The phrasal verb “look forward to” means _____.,to expect something with pleasure,to turn around,to think of,to talk about,A,6
English,The phrasal verb “put out” means _____.,to extinguish,to light,to bring in,to remove,A,6
English,The phrasal verb “set out” means _____.,to start a journey,to sit down,to run fast,to plan,A,6
English,The phrasal verb “get up” means _____.,to rise from bed,to sleep,to kneel,to shout,A,6
English,The phrasal verb “bring back” means _____.,to return something,to take away,to forget,to call back,A,6
English,The phrasal verb “cut down” means _____.,to reduce,to increase,to raise,to add,A,6
English,The phrasal verb “give in” means _____.,to submit,to resist,to argue,to protest,A,6
English,The phrasal verb “hand over” means _____.,to transfer possession,to take from,to collect,to borrow,A,6
English,The synonym of *happy* is _____.,sad,joyful,angry,afraid,B,2
English,The synonym of *angry* is _____.,furious,calm,gentle,quiet,A,2
English,The synonym of *big* is _____.,tiny,small,large,short,C,2
English,The synonym of *beautiful* is _____.,ugly,pretty,plain,bad,B,2
English,The synonym of *brave* is _____.,bold,timid,fearful,weak,A,2
English,The synonym of *begin* is _____.,end,start,close,stop,B,6
English,The synonym of *buy* is _____.,sell,purchase,exchange,give,B,6
English,The synonym of *finish* is _____.,start,begin,end,open,C,6
English,The synonym of *fast* is _____.,quick,slow,steady,weak,A,2
English,The synonym of *rich* is _____.,poor,wealthy,greedy,stingy,B,2
English,The antonym of *love* is _____.,like,hate,care,help,B,7
English,The antonym of *early* is _____.,late,fast,soon,quick,A,7
English,The antonym of *strong* is _____.,hard,weak,firm,tough,B,7
English,The antonym of *short* is _____.,long,small,thin,wide,A,7
English,The antonym of *cheap* is _____.,costly,small,soft,free,A,7
English,The antonym of *accept* is _____.,refuse,receive,take,give,A,7
English,The antonym of *arrival* is _____.,coming,leaving,departure,meeting,C,7
English,The antonym of *success* is _____.,achievement,failure,progress,victory,B,7
English,The antonym of *open* is _____.,close,break,tear,lock,A,7
English,The antonym of *hot* is _____.,warm,cold,freezing,chilly,B,7
English,The synonym of *intelligent* is _____.,wise,dull,weak,slow,A,2
English,The synonym of *lazy* is _____.,idle,hardworking,active,serious,A,2
English,The synonym of *humble* is _____.,modest,proud,angry,quiet,A,2
English,The antonym of *polite* is _____.,kind,rude,soft,shy,B,7
English,The antonym of *empty* is _____.,blank,filled,open,shallow,B,7
English,The antonym of *difficult* is _____.,hard,easy,rough,strong,B,7
English,The synonym of *quickly* is _____.,slowly,fast,softly,gently,B,2
English,The synonym of *honest* is _____.,truthful,deceitful,cunning,silent,A,2
English,The antonym of *noise* is _____.,quiet,sound,loudness,voice,A,7
English,The synonym of *help* is _____.,assist,ignore,disturb,refuse,A,6
English,The antonym of *light* is _____.,bright,heavy,soft,dim,B,7
English,The synonym of *teacher* is _____.,pupil,instructor,student,learner,B,2
English,The antonym of *victory* is _____.,win,defeat,glory,achievement,B,7
English,The antonym of *friend* is _____.,partner,enemy,stranger,companion,B,7
English,The synonym of *beautiful* is _____.,handsome,pretty,fair,ugly,B,2
English,The synonym of *error* is _____.,mistake,truth,correction,right,A,2
English,The antonym of *honest* is _____.,faithful,false,truthful,real,B,2
English,The synonym of *reply* is _____.,answer,question,ask,report,A,2
English,The antonym of *soft* is _____.,tough,hard,strong,solid,B,7
English,The antonym of *weak* is _____.,feeble,strong,slow,shy,B,7
English,The synonym of *beginning* is _____.,start,end,finish,stop,A,6
English,The antonym of *clean* is _____.,clear,dirty,tidy,bright,B,7
English,The antonym of *success* is _____.,failure,progress,development,victory,A,7
English,The synonym of *angry* is _____.,furious,calm,quiet,cool,A,2
English,The antonym of *love* is _____.,hate,joy,care,trust,A,7
English,The synonym of *happy* is _____.,joyful,sad,quiet,angry,A,2
English,The antonym of *dark* is _____.,bright,black,dim,dull,A,7
English,The antonym of *deep* is _____.,shallow,low,wide,long,A,7
English,The synonym of *rich* is _____.,wealthy,poor,stingy,humble,A,2
English,The antonym of *new* is _____.,modern,ancient,old,latest,C,7
English,The synonym of *clever* is _____.,intelligent,slow,careless,lazy,A,2
English,The antonym of *empty* is _____.,full,blank,light,open,A,7
English,The synonym of *small* is _____.,tiny,huge,large,big,A,2
English,The antonym of *happy* is _____.,sad,excited,calm,kind,A,2
English,The synonym of *good* is _____.,fine,bad,ugly,wrong,A,2
English,The antonym of *tall* is _____.,short,low,long,deep,A,7
English,The synonym of *easy* is _____.,simple,hard,difficult,strong,A,2
English,A figure of speech is used to _____.,make language dull,add beauty and meaning,make writing confusing,repeat ideas,B,1
English,The expression “as brave as a lion” is an example of a _____.,metaphor,simile,personification,hyperbole,B,1
English,The expression “The world is a stage” is an example of a _____.,simile,metaphor,personification,alliteration,B,1
English,The statement “The sun smiled on us” is an example of _____.,simile,personification,metaphor,irony,B,1
English,The expression “He cried a river” is an example of _____.,metaphor,hyperbole,simile,personification,B,1
English,The phrase “The silence was deafening” is an example of _____.,paradox,metaphor,simile,irony,A,1
English,The statement “Honesty is the best policy” is a _____.,proverb,metaphor,idiom,simile,A,1
English,The expression “She sells seashells by the seashore” illustrates _____.,simile,alliteration,personification,metaphor,B,1
English,The phrase “The fire swallowed the house” is an example of _____.,metaphor,personification,simile,hyperbole,B,1
English,The statement “Time flies” is an example of _____.,personification,metaphor,hyperbole,simile,A,1
English,The expression “as white as snow” is an example of _____.,metaphor,simile,hyperbole,alliteration,B,1
English,The phrase “sweet sorrow” is an example of _____.,oxymoron,simile,personification,metaphor,A,1
English,The figure of speech in “The pen is mightier than the sword” is _____.,personification,metaphor,metonymy,irony,C,1
English,The expression “a sea of troubles” is an example of _____.,simile,metaphor,personification,idiom,B,1
English,The phrase “I have told you a thousand times” is an example of _____.,hyperbole,simile,personification,irony,A,1
English,The statement “He kicked the bucket” means _____.,he died,he fell,he kicked something,he shouted,A,1
English,The expression “a round square” is an example of _____.,paradox,oxymoron,metaphor,simile,B,1
English,The figure of speech in “He is the black sheep of the family” is a/an _____.,simile,idiom,metaphor,proverb,C,1
English,The expression “He fought like a lion” is a _____.,metaphor,simile,idiom,proverb,B,1
English,The phrase “The wind whispered” is an example of _____.,personification,hyperbole,metaphor,simile,A,1
English,The expression “as busy as a bee” is an example of _____.,metaphor,simile,idiom,irony,B,1
English,The statement “The news hit me like a ton of bricks” is a _____.,simile,hyperbole,metaphor,idiom,A,1
English,The figure of speech in “The stars danced in the sky” is _____.,metaphor,simile,personification,oxymoron,C,1
English,The phrase “as cold as ice” is an example of _____.,simile,metaphor,personification,paradox,A,1
English,The expression “He has a heart of stone” is a _____.,metaphor,simile,personification,idiom,A,1
English,The phrase “He eats like a pig” is a _____.,simile,metaphor,hyperbole,idiom,A,1
English,The figure of speech “Don’t bite the hand that feeds you” is a _____.,proverb,idiom,metaphor,hyperbole,A,1
English,The statement “The classroom was a zoo” is a _____.,personification,metaphor,simile,oxymoron,B,1
English,The figure of speech in “The thunder roared angrily” is _____.,personification,metaphor,simile,irony,A,1
English,The expression “as light as a feather” is a _____.,simile,metaphor,idiom,hyperbole,A,1
English,The figure of speech in “All that glitters is not gold” is a _____.,proverb,idiom,metaphor,hyperbole,A,1
English,The repetition of consonant sounds at the beginning of words is called _____.,alliteration,assonance,consonance,ellipsis,A,5
English,The repetition of vowel sounds in nearby words is called _____.,alliteration,assonance,consonance,onomatopoeia,B,5
English,The use of words that imitate sounds is called _____.,onomatopoeia,hyperbole,simile,irony,A,5
English,The statement “Boom! went the gun” is an example of _____.,alliteration,onomatopoeia,hyperbole,metaphor,B,1
English,The phrase “better late than never” is a _____.,proverb,idiom,metaphor,simile,A,7
English,The expression “He met his Waterloo” means _____.,he won a prize,he suffered defeat,he traveled far,he succeeded,B,1
English,The expression “to add insult to injury” means _____.,to make a bad situation worse,to apologize,to forgive,to repair,A,6
English,The phrase “as cool as a cucumber” means _____.,very calm,very cold,very hot,very angry,A,6
English,The expression “the handwriting on the wall” means _____.,a warning of trouble,a letter,a sign,a drawing,A,1
English,The figure of speech in “as blind as a bat” is a _____.,metaphor,simile,idiom,proverb,B,1
English,The phrase “He was buried in his books” is an example of _____.,metaphor,simile,idiom,hyperbole,A,1
English,The expression “She has eyes like a hawk” is a _____.,simile,metaphor,personification,hyperbole,A,1
English,The figure of speech in “as gentle as a dove” is a _____.,simile,metaphor,personification,idiom,A,1
English,The expression “Life is a journey” is a _____.,metaphor,simile,idiom,proverb,A,1
English,The statement “He ran faster than the wind” is a _____.,hyperbole,simile,idiom,metaphor,A,1
English,The expression “a wolf in sheep’s clothing” means _____.,a deceitful person,a kind man,a quiet person,a brave man,A,1
English,The phrase “as hard as rock” is a _____.,simile,metaphor,idiom,hyperbole,A,1
English,The statement “as black as coal” is a _____.,simile,metaphor,idiom,proverb,A,1
English,The figure of speech “A stitch in time saves nine” teaches _____.,delay is dangerous,hard work pays,help others,wait patiently,A,1
English,Reading comprehension helps to improve _____.,speaking,understanding,writing,acting,B,3
English,The main idea of a passage is _____.,the title,the most important point,the first line,the last sentence,B,3
English,Skimming is a reading technique used to _____.,read every word,find main ideas quickly,memorize text,analyze grammar,B,6
English,Scanning is used to _____.,find specific information,read slowly,analyze meanings,write summaries,A,6
English,The purpose of reading for gist is to _____.,get a general idea,understand details,memorize lines,analyze tone,A,6
English,The topic sentence of a paragraph usually appears at the _____.,beginning,middle,end,nowhere,A,3
English,To infer means to _____.,guess meaning from clues,read aloud,translate words,count sentences,A,6
English,The writer’s attitude in a passage is called the _____.,tone,theme,title,plot,A,3
English,The central message of a passage is the _____.,topic,theme,summary,thesis,B,1
English,The word that describes the writer’s choice of words is _____.,tone,style,theme,grammar,B,1
English,Active reading means _____.,reading passively,engaging with the text,reading quickly,memorizing lines,B,6
English,The best title for a passage should _____.,be short and relevant,be long and detailed,be funny,mention every detail,A,3
English,The main function of punctuation marks in reading is to _____.,indicate pauses and meaning,decorate text,replace words,shorten sentences,A,3
English,The word *synonym* means _____.,words with opposite meanings,words with similar meanings,words with same spelling,different words,B,2
English,The word *antonym* means _____.,words that sound alike,words with opposite meanings,words with same meaning,words with similar spelling,B,7
English,Good readers often _____.,ignore punctuation,predict meaning,skip paragraphs,read aloud always,B,3
English,The best way to increase vocabulary is by _____.,memorizing dictionary words,reading regularly,listening to songs,copying notes,B,6
English,Listening skills are important because they help us to _____.,speak less,understand others better,read faster,write correctly,B,5
English,Good listening requires _____.,attention and concentration,sleeping,interrupting others,looking away,A,5
English,Note-taking during listening helps to _____.,remember key points,forget details,avoid focus,read aloud,A,5
English,Barriers to good listening include _____.,noise and distraction,attention and focus,understanding and recall,good memory,A,5
English,The process of listening begins with _____.,interpreting,hearing,remembering,responding,B,5
English,Listening comprehension means _____.,understanding what is heard,reading silently,writing notes,copying answers,A,5
English,Paraphrasing means _____.,rewriting in your own words,copying the same words,reading aloud,translating language,A,6
English,The best way to answer comprehension questions is to _____.,read the questions first,ignore the passage,guess answers,memorize words,A,3
English,The difference between hearing and listening is _____.,listening requires attention,hearing is understanding,listening is passive,hearing is active,A,5
English,Silent reading helps a student to _____.,read faster,memorize better,speak louder,translate words,A,3
English,The skill of predicting outcomes in reading means _____.,guessing what will happen next,writing the ending,copying words,skipping lines,A,3
English,The act of dividing a passage into paragraphs helps to _____.,organize ideas,make it longer,confuse readers,fill space,A,3
English,The main difference between summary and paraphrase is that a summary is _____.,shorter,exactly same,translated,longer,A,3
English,The tone of a passage can be _____.,sad,angry,joyful,all of the above,D,1
English,Reading comprehension questions often test _____.,understanding and inference,spelling,grammar,handwriting,A,3
English,The best way to improve reading comprehension is to _____.,practice regularly,read once,avoid questions,read fast only,A,3
English,The opposite of active listening is _____.,passive listening,fast listening,deep listening,focused listening,A,5
English,Effective readers often _____.,take notes and summarize,skip details,read aloud always,avoid punctuation,A,3
English,The author’s purpose in a passage could be to _____.,inform,entertain,persuade,all of the above,D,3
English,Reading aloud helps to improve _____.,pronunciation and confidence,writing speed,listening skills,reading silently,A,3
English,One good habit of an effective listener is _____.,interrupting,maintaining eye contact,thinking of other things,speaking over others,B,5
English,The word *skim* in reading means to _____.,read quickly for main idea,read aloud slowly,memorize lines,find details,A,6
English,Essay writing is also known as _____.,composition,summary,letter,dialogue,A,3
English,The main purpose of essay writing is to _____.,express ideas,copy others,memorize text,translate,A,3
English,The opening paragraph of an essay is called the _____.,introduction,body,conclusion,summary,A,3
English,The last paragraph of an essay is called the _____.,ending,summary,conclusion,body,C,3
English,The main part of an essay that develops the ideas is the _____.,body,heading,introduction,summary,A,3
English,A good essay must have _____.,clear structure,unclear ideas,random thoughts,short sentences,A,3
English,The features of a good essay include _____.,clarity,coherence,unity,all of the above,D,3
English,The type of essay that tells a story is a _____ essay.,narrative,descriptive,expository,argumentative,A,3
English,The type of essay that describes something is called a _____ essay.,narrative,descriptive,argumentative,expository,B,3
English,An essay that explains how or why something happens is _____.,expository,argumentative,narrative,letter,A,3
English,An essay that tries to convince readers is a _____ essay.,narrative,argumentative,descriptive,expository,B,3
English,An informal letter is written to _____.,friends or relatives,government officials,editors,business partners,A,0
English,A formal letter is written to _____.,friends,relatives,officials,peers,C,0
English,An official letter should begin with _____.,Dear Sir/Madam,Hello friend,Hi there,Hey you,A,0
English,The address of the writer in a formal letter is written _____.,at the top right corner,at the bottom,at the center,anywhere,A,0
English,The date in a formal letter comes _____ the writer’s address.,before,after,below,beside,B,0
English,The salutation in a friendly letter is written as _____.,Dear Tolu,Dear Sir,Respected Madam,To Whom It May Concern,A,0
English,The closing of a formal letter is usually _____.,Yours faithfully,Yours sincerely,Best regards,From your friend,A,0
English,The closing of an informal letter is usually _____.,Yours sincerely,Yours faithfully,Your loving friend,Yours obediently,C,0
English,The subject of a formal letter should be written _____.,in capital letters,at the end,in small letters,nowhere,A,0
English,A report writing must include _____.,title,content,date,all of the above,D,3
English,The first paragraph of a report should state _____.,the purpose of the report,the writer’s name,an opinion,a question,A,3
English,The title of an essay should be _____.,short and clear,very long,irrelevant,complex,A,3
English,A descriptive essay mainly focuses on _____.,the senses and details,facts and arguments,opinions only,statistics,A,3
English,An argumentative essay must include _____.,points for and against,poems,stories,dialogues,A,3
English,A good paragraph should have a _____.,topic sentence,conclusion only,random idea,title only,A,3
English,The word *composition* means _____.,putting ideas together,reading stories,copying from text,memorizing,A,6
English,The tone of a formal letter should be _____.,respectful,rude,emotional,joking,A,0
English,The tone of an informal letter should be _____.,friendly,official,strict,technical,A,0
English,The use of paragraphs in essays helps to _____.,organize ideas,confuse readers,make it longer,add decoration,A,3
English,The phrase “Yours faithfully” is used when _____.,you don’t know the name of the person,you know the person,writing to a friend,writing an article,A,6
English,The phrase “Yours sincerely” is used when _____.,you know the name of the person,writing to strangers,writing reports,writing to editors,A,2
English,The body of a formal letter should be written in _____ paragraphs.,two or more,one,none,five,A,0
English,A story must be written in _____ order.,chronological,reverse,random,mixed,A,3
English,The title of a formal letter should be _____.,underlined,hidden,italicized,omitted,A,0
English,A narrative essay should contain _____.,characters,setting,plot,all of the above,D,3
English,An article is written mainly to _____.,inform or educate,chat with friends,entertain personally,advertise only,A,3
English,A good report should be _____.,clear and factual,opinionated,short and unclear,too emotional,A,3
English,A good speech should begin with _____.,a greeting and introduction,conclusion,examples only,a poem,A,1
English,Minutes of meeting usually include _____.,date,time,decisions,all of the above,D,1
English,Formal speeches are usually delivered to _____.,an audience,one person,friends only,teachers only,A,0
English,A short piece of writing about current issues in newspapers is called a _____.,article,story,poem,report,A,3
English,One feature of a good composition is _____.,unity of ideas,confusion,verbosity,irrelevance,A,1
English,A debate topic is always presented as a _____.,motion,poem,title,question,A,3
English,A letter to the editor belongs to the _____ type of writing.,formal,informal,friendly,descriptive,A,0
English,The abbreviation “P.S.” at the end of a letter stands for _____.,postscript,personal statement,public speech,paragraph summary,A,0
English,The word *vocabulary* refers to _____.,a person’s knowledge of words,grammar rules,essay writing,story telling,A,6
English,The process of forming new words from existing ones is called _____.,word formation,conjugation,inflection,translation,A,6
English,The word *careless* is formed by adding the suffix _____ to *care*.,-ful,-less,-ness,-ly,B,6
English,The word *unhappy* is formed by adding the prefix _____ to *happy*.,dis-,un-,mis-,in-,B,2
English,The word *teacher* is formed from *teach* by adding the suffix _____.,-ness,-er,-ful,-tion,B,6
English,The word *darkness* is formed from *dark* by adding the suffix _____.,-ly,-ness,-ful,-able,B,6
English,The word *quickly* is formed from *quick* by adding the suffix _____.,-er,-ly,-ness,-ful,B,6
English,The word *impossible* is formed by adding the prefix _____ to *possible*.,dis-,un-,in-,im-,D,6
English,The prefix *dis-* usually means _____.,not,again,without,very,A,6
English,The suffix *-ness* usually changes an adjective into a _____.,noun,verb,adverb,preposition,A,6
English,The prefix *re-* means _____.,again,not,opposite,too much,A,6
English,The word *rewrite* means _____.,to write again,to cancel,to write wrongly,to write less,A,6
English,The prefix *pre-* means _____.,before,after,around,within,A,6
English,The suffix *-ment* forms a _____.,verb,noun,adverb,adjective,B,6
English,The word *development* is a _____.,verb,noun,adverb,adjective,B,6
English,The word *beautiful* is a _____.,noun,adjective,adverb,verb,B,2
English,The adverb form of *quick* is _____.,quickly,quicker,quickest,quickness,A,6
English,The adjective form of *danger* is _____.,dangerous,dangerously,endanger,dangered,A,7
English,The noun form of *decide* is _____.,decision,deciding,decided,decisive,A,4
English,The adjective form of *create* is _____.,creation,creative,creatively,creator,B,6
English,The adjective form of *hope* is _____.,hopeful,hopeless,hopefully,hoping,A,2
English,The adverb form of *sad* is _____.,sadness,sadly,sadder,saddened,B,1
English,The noun form of *strong* is _____.,strength,strongly,strongness,stronger,A,6
English,The adjective form of *beauty* is _____.,beautiful,beautify,beautifully,beautified,A,2
English,The adverb form of *polite* is _____.,politely,politeness,politer,polity,A,2
English,The word *employment* comes from the verb _____.,employ,employee,employer,employment,A,6
English,The word *happiness* is derived from the adjective _____.,happy,happily,happier,happiness,A,2
English,The opposite of *legal* is _____.,illegal,dislegal,unlegal,nonlegal,A,7
English,The opposite of *possible* is _____.,impossible,nonpossible,unpossible,dispossible,A,7
English,The word *irregular* means _____.,not regular,too regular,more regular,regular,A,6
English,The word *careful* means _____.,full of care,without care,lack of care,careless,A,6
English,The word *careless* means _____.,without care,full of care,very caring,careful,A,6
English,The word *readable* means _____.,easy to read,hard to read,not written,being read,A,6
English,The prefix *anti-* means _____.,before,against,with,after,B,6
English,The prefix *auto-* means _____.,self,other,half,below,A,6
English,The prefix *bi-* means _____.,two,three,one,four,A,6
English,The prefix *tri-* means _____.,three,two,four,five,A,6
English,The word *childhood* is formed by adding the suffix _____.,-hood,-ship,-ment,-ness,A,6
English,The word *friendship* is formed by adding the suffix _____.,-hood,-ship,-ness,-able,B,6
English,The word *agreement* is formed by adding the suffix _____.,-tion,-ment,-ness,-er,B,6
English,The word *movement* is a _____.,noun,verb,adverb,adjective,A,6
English,The noun form of *advise* is _____.,advice,adviser,advising,advised,A,6
English,The verb form of *advice* is _____.,advise,adviser,advising,advised,A,6
English,The noun form of *arrive* is _____.,arrival,arriver,arriving,arrived,A,6
English,The adjective form of *fame* is _____.,famous,fameful,famed,fameless,A,2
English,The noun form of *choose* is _____.,choice,chooser,choosing,chosen,A,4
English,The adjective form of *sun* is _____.,sunny,sunned,sunning,sunlighted,A,1
English,The noun form of *strong* is _____.,strength,strongly,strongness,stronger,A,6
English,The adjective form of *danger* is _____.,dangerous,dangerously,endangered,dangered,A,7
